source_url,target_url,anchor_text,insertion_context,reason,confidence,issue_type,status
https://wpmaintenance.uk/,https://wpmaintenance.uk/contact/,WordPress,"and, providing expert WordPress support to your clients without them knowing we exist. This includes branded reporting, dedicated support channels, and flexible pricing structures."" } }, { ""@type"": ""Question"", ""name"": ""How quickly do you re","Target is orphan; topical overlap on exist, not, page, seo, wordpress; source does not already link to target.",77,orphan,pending
https://wpmaintenance.uk/seo/,https://wpmaintenance.uk/contact/,This Page Does Not Exist,"imate-shim { visibility: hidden; } .ng-anchor { position: absolute; } This Page Does Not Exist (function (i, s, o, g, r, a, m) { i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () { (i[r].q = i[r].q || []).push(arguments) }, i[r].l","Target is orphan; topical overlap on does, exist, not, page, seo, wordpress; source does not already link to target.",77,orphan,pending
https://wpmaintenance.uk/services/,https://wpmaintenance.uk/contact/,This Page Does Not Exist,"imate-shim { visibility: hidden; } .ng-anchor { position: absolute; } This Page Does Not Exist (function (i, s, o, g, r, a, m) { i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () { (i[r].q = i[r].q || []).push(arguments) }, i[r].l","Target is orphan; topical overlap on does, exist, not, page, seo, wordpress; source does not already link to target.",77,orphan,pending
https://wpmaintenance.uk/,https://wpmaintenance.uk/seo/,WordPress,"and, providing expert WordPress support to your clients without them knowing we exist. This includes branded reporting, dedicated support channels, and flexible pricing structures."" } }, { ""@type"": ""Question"", ""name"": ""How quickly do you re","Target is orphan; topical overlap on exist, not, page, seo, wordpress; source does not already link to target.",77,orphan,pending
https://wpmaintenance.uk/contact/,https://wpmaintenance.uk/seo/,This Page Does Not Exist,"imate-shim { visibility: hidden; } .ng-anchor { position: absolute; } This Page Does Not Exist (function (i, s, o, g, r, a, m) { i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () { (i[r].q = i[r].q || []).push(arguments) }, i[r].l","Target is orphan; topical overlap on does, exist, not, page, seo, wordpress; source does not already link to target.",77,orphan,pending
https://wpmaintenance.uk/services/,https://wpmaintenance.uk/seo/,This Page Does Not Exist,"imate-shim { visibility: hidden; } .ng-anchor { position: absolute; } This Page Does Not Exist (function (i, s, o, g, r, a, m) { i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () { (i[r].q = i[r].q || []).push(arguments) }, i[r].l","Target is orphan; topical overlap on does, exist, not, page, seo, wordpress; source does not already link to target.",77,orphan,pending
https://wpmaintenance.uk/,https://wpmaintenance.uk/services/,WordPress,"and, providing expert WordPress support to your clients without them knowing we exist. This includes branded reporting, dedicated support channels, and flexible pricing structures."" } }, { ""@type"": ""Question"", ""name"": ""How quickly do you re","Target is orphan; topical overlap on exist, not, page, seo, wordpress; source does not already link to target.",77,orphan,pending
https://wpmaintenance.uk/contact/,https://wpmaintenance.uk/services/,This Page Does Not Exist,"imate-shim { visibility: hidden; } .ng-anchor { position: absolute; } This Page Does Not Exist (function (i, s, o, g, r, a, m) { i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () { (i[r].q = i[r].q || []).push(arguments) }, i[r].l","Target is orphan; topical overlap on does, exist, not, page, seo, wordpress; source does not already link to target.",77,orphan,pending
https://wpmaintenance.uk/seo/,https://wpmaintenance.uk/services/,This Page Does Not Exist,"imate-shim { visibility: hidden; } .ng-anchor { position: absolute; } This Page Does Not Exist (function (i, s, o, g, r, a, m) { i['GoogleAnalyticsObject'] = r; i[r] = i[r] || function () { (i[r].q = i[r].q || []).push(arguments) }, i[r].l","Target is orphan; topical overlap on does, exist, not, page, seo, wordpress; source does not already link to target.",77,orphan,pending
https://wpmaintenance.uk/contact/,https://wpmaintenance.uk/,WordPress Maintenance Services UK | WP Maintenance & Support Plans,"@charset ""UTF-8""; [ng\:cloak], [ng-cloak], [data-ng-cloak], [x-ng-cloak], .ng-cloak, .x-ng-cloak, .ng-hide:not(.ng-hide-animate) { display: none !important; } ng\:form { display: block; } .ng-animate-shim { visibility: h","Target is orphan; topical overlap on seo, wordpress; source does not already link to target.",56,orphan,pending
https://wpmaintenance.uk/seo/,https://wpmaintenance.uk/,WordPress Maintenance Services UK | WP Maintenance & Support Plans,"@charset ""UTF-8""; [ng\:cloak], [ng-cloak], [data-ng-cloak], [x-ng-cloak], .ng-cloak, .x-ng-cloak, .ng-hide:not(.ng-hide-animate) { display: none !important; } ng\:form { display: block; } .ng-animate-shim { visibility: h","Target is orphan; topical overlap on seo, wordpress; source does not already link to target.",56,orphan,pending
https://wpmaintenance.uk/services/,https://wpmaintenance.uk/,WordPress Maintenance Services UK | WP Maintenance & Support Plans,"@charset ""UTF-8""; [ng\:cloak], [ng-cloak], [data-ng-cloak], [x-ng-cloak], .ng-cloak, .x-ng-cloak, .ng-hide:not(.ng-hide-animate) { display: none !important; } ng\:form { display: block; } .ng-animate-shim { visibility: h","Target is orphan; topical overlap on seo, wordpress; source does not already link to target.",56,orphan,pending
